clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C1,44,182,757,39.70989227294922,2.2683472633361816
E7.5-R1-C2,E7.5-R2-C1,45,182,757,29.868671417236328,1.778482437133789
E7.5-R1-C2,E7.5-R2-C1,46,182,757,31.77509117126465,1.9153785705566406
E7.5-R1-C2,E7.5-R2-C1,47,182,757,33.01877975463867,2.282367706298828
E7.5-R1-C2,E7.5-R2-C1,48,182,757,39.668907165527344,2.660648822784424
E7.5-R1-C2,E7.5-R2-C1,49,182,757,25.9659423828125,1.3565244674682617
E7.5-R1-C2,E7.5-R2-C3,0,182,162,18.720258712768555,1.5198469161987305
E7.5-R1-C2,E7.5-R2-C3,1,182,162,45.83258819580078,2.6031904220581055
E7.5-R1-C2,E7.5-R2-C3,2,182,162,36.14647674560547,2.124455451965332
E7.5-R1-C2,E7.5-R2-C3,3,182,162,34.99114227294922,2.1115150451660156
E7.5-R1-C2,E7.5-R2-C3,4,182,162,32.4770622253418,2.245589256286621
E7.5-R1-C2,E7.5-R2-C3,5,182,162,29.172460556030273,2.4547605514526367
E7.5-R1-C2,E7.5-R2-C3,6,182,162,38.179012298583984,2.0930190086364746
E7.5-R1-C2,E7.5-R2-C3,7,182,162,29.126720428466797,2.383749008178711
E7.5-R1-C2,E7.5-R2-C3,8,182,162,44.28057098388672,2.901121139526367
E7.5-R1-C2,E7.5-R2-C3,9,182,162,27.02286720275879,2.184964656829834
E7.5-R1-C2,E7.5-R2-C3,10,182,162,42.80023193359375,2.7431697845458984
E7.5-R1-C2,E7.5-R2-C3,11,182,162,30.253671646118164,2.640353202819824
E7.5-R1-C2,E7.5-R2-C3,12,182,162,49.703269958496094,3.5337696075439453
E7.5-R1-C2,E7.5-R2-C3,13,182,162,29.17997169494629,3.3714332580566406
E7.5-R1-C2,E7.5-R2-C3,14,182,162,36.83545684814453,2.8543272018432617
E7.5-R1-C2,E7.5-R2-C3,15,182,162,25.80347442626953,1.9121942520141602
E7.5-R1-C2,E7.5-R2-C3,16,182,162,35.10560607910156,2.265737533569336
E7.5-R1-C2,E7.5-R2-C3,17,182,162,37.331417083740234,2.7175588607788086
E7.5-R1-C2,E7.5-R2-C3,18,182,162,43.68666076660156,2.589228630065918
E7.5-R1-C2,E7.5-R2-C3,19,182,162,26.124935150146484,1.9604215621948242
E7.5-R1-C2,E7.5-R2-C3,20,182,162,56.679630279541016,5.0555877685546875
E7.5-R1-C2,E7.5-R2-C3,21,182,162,28.676633834838867,2.45159912109375
E7.5-R1-C2,E7.5-R2-C3,22,182,162,26.547636032104492,2.3268141746520996
E7.5-R1-C2,E7.5-R2-C3,23,182,162,28.733617782592773,2.101853370666504
E7.5-R1-C2,E7.5-R2-C3,24,182,162,27.57278823852539,2.7938804626464844
E7.5-R1-C2,E7.5-R2-C3,25,182,162,39.88932418823242,2.5725297927856445
E7.5-R1-C2,E7.5-R2-C3,26,182,162,51.891754150390625,2.9447765350341797
E7.5-R1-C2,E7.5-R2-C3,27,182,162,46.46900939941406,3.9730453491210938
E7.5-R1-C2,E7.5-R2-C3,28,182,162,43.980499267578125,2.651965618133545
E7.5-R1-C2,E7.5-R2-C3,29,182,162,42.64691925048828,3.639899253845215
E7.5-R1-C2,E7.5-R2-C3,30,182,162,38.95706558227539,2.2245731353759766
E7.5-R1-C2,E7.5-R2-C3,31,182,162,63.757320404052734,5.604828834533691
E7.5-R1-C2,E7.5-R2-C3,32,182,162,41.550758361816406,2.8132495880126953
E7.5-R1-C2,E7.5-R2-C3,33,182,162,39.942745208740234,2.7920799255371094
E7.5-R1-C2,E7.5-R2-C3,34,182,162,40.85595703125,3.5365042686462402
E7.5-R1-C2,E7.5-R2-C3,35,182,162,38.24322509765625,4.031228065490723
E7.5-R1-C2,E7.5-R2-C3,36,182,162,47.18360900878906,4.294154644012451
E7.5-R1-C2,E7.5-R2-C3,37,182,162,38.21189880371094,3.04191255569458
E7.5-R1-C2,E7.5-R2-C3,38,182,162,40.681724548339844,3.036863327026367
E7.5-R1-C2,E7.5-R2-C3,39,182,162,23.46603775024414,2.4155845642089844
E7.5-R1-C2,E7.5-R2-C3,40,182,162,31.88958168029785,2.7327375411987305
E7.5-R1-C2,E7.5-R2-C3,41,182,162,24.297321319580078,2.4052886962890625
E7.5-R1-C2,E7.5-R2-C3,42,182,162,18.540302276611328,2.3676533699035645
E7.5-R1-C2,E7.5-R2-C3,43,182,162,36.78997039794922,3.587285041809082
E7.5-R1-C2,E7.5-R2-C3,44,182,162,58.861907958984375,4.910808563232422
E7.5-R1-C2,E7.5-R2-C3,45,182,162,49.925575256347656,4.302827835083008
E7.5-R1-C2,E7.5-R2-C3,46,182,162,31.099781036376953,3.325244903564453
E7.5-R1-C2,E7.5-R2-C3,47,182,162,35.81049346923828,3.2900209426879883
E7.5-R1-C2,E7.5-R2-C3,48,182,162,41.74299621582031,3.434868812561035
E7.5-R1-C2,E7.5-R2-C3,49,182,162,79.44166564941406,5.625757694244385
E7.5-R1-C2,E7.5-R2-C6,0,182,25,24.16749382019043,3.6682755947113037
E7.5-R1-C2,E7.5-R2-C6,1,182,25,60.98431396484375,6.687313079833984
E7.5-R1-C2,E7.5-R2-C6,2,182,25,48.42985153198242,6.351221084594727
E7.5-R1-C2,E7.5-R2-C6,3,182,25,53.89424133300781,6.7376813888549805
E7.5-R1-C2,E7.5-R2-C6,4,182,25,42.354835510253906,5.166563987731934
E7.5-R1-C2,E7.5-R2-C6,5,182,25,35.53675079345703,3.907352924346924
E7.5-R1-C2,E7.5-R2-C6,6,182,25,43.06871795654297,5.395800590515137
E7.5-R1-C2,E7.5-R2-C6,7,182,25,50.23576354980469,6.33759069442749
E7.5-R1-C2,E7.5-R2-C6,8,182,25,47.51506805419922,5.9051666259765625
E7.5-R1-C2,E7.5-R2-C6,9,182,25,41.82574462890625,5.19171142578125
E7.5-R1-C2,E7.5-R2-C6,10,182,25,87.56895446777344,9.775358200073242
E7.5-R1-C2,E7.5-R2-C6,11,182,25,36.62089157104492,4.378183364868164
E7.5-R1-C2,E7.5-R2-C6,12,182,25,65.73591613769531,8.410223007202148
